asset,datetime_et,open,high,low,close,volume,is_or
6J,2026-03-08 18:05:00,0.006337,0.00634,0.006337,0.006339,184,0
6J,2026-03-08 18:06:00,0.006338,0.006339,0.006338,0.006338,84,0
6J,2026-03-08 18:07:00,0.006339,0.00634,0.006338,0.006338,133,0
6J,2026-03-08 18:08:00,0.006338,0.006339,0.006338,0.006339,89,0
6J,2026-03-08 18:09:00,0.006339,0.00634,0.006338,0.006339,143,0
6J,2026-03-08 18:10:00,0.00634,0.00634,0.006338,0.006338,85,0
6J,2026-03-08 18:11:00,0.006338,0.006338,0.006338,0.006338,40,0
6J,2026-03-08 18:12:00,0.006338,0.006338,0.006338,0.006338,42,0
6J,2026-03-08 18:13:00,0.006338,0.006338,0.006338,0.006338,55,0
6J,2026-03-08 18:14:00,0.006338,0.006338,0.006337,0.006338,85,0
6J,2026-03-09 17:55:00,0.006359,0.006359,0.006358,0.006359,32,0
6J,2026-03-09 17:56:00,0.006358,0.006358,0.006357,0.006358,60,0
6J,2026-03-09 17:57:00,0.006358,0.006358,0.006357,0.006357,56,0
6J,2026-03-09 17:58:00,0.006357,0.006358,0.006357,0.006357,21,0
6J,2026-03-09 17:59:00,0.006358,0.006358,0.006357,0.006357,24,0
6J,2026-03-09 18:00:00,0.006357,0.006357,0.006356,0.006357,143,1
6J,2026-03-09 18:01:00,0.006357,0.006357,0.006356,0.006357,158,1
6J,2026-03-09 18:02:00,0.006357,0.006357,0.006356,0.006356,22,1
6J,2026-03-09 18:03:00,0.006356,0.006356,0.006355,0.006355,49,1
6J,2026-03-09 18:04:00,0.006355,0.006356,0.006355,0.006356,46,1
6J,2026-03-09 18:05:00,0.006356,0.006357,0.006356,0.006356,36,0
6J,2026-03-09 18:06:00,0.006356,0.006356,0.006356,0.006356,38,0
6J,2026-03-09 18:07:00,0.006356,0.006358,0.006356,0.006357,75,0
6J,2026-03-09 18:08:00,0.006357,0.006359,0.006357,0.006358,20,0
6J,2026-03-09 18:09:00,0.006358,0.006358,0.006358,0.006358,52,0
6J,2026-03-09 18:10:00,0.006358,0.006358,0.006357,0.006357,38,0
6J,2026-03-09 18:11:00,0.006357,0.006357,0.006357,0.006357,33,0
6J,2026-03-09 18:12:00,0.006357,0.006357,0.006357,0.006357,50,0
6J,2026-03-09 18:13:00,0.006357,0.006357,0.006357,0.006357,17,0
6J,2026-03-09 18:14:00,0.006357,0.006357,0.006357,0.006357,20,0
6J,2026-03-10 17:55:00,0.006342,0.006343,0.006342,0.006343,2,0
6J,2026-03-10 17:56:00,0.006343,0.006343,0.006342,0.006343,33,0
6J,2026-03-10 17:57:00,0.006343,0.006343,0.006342,0.006343,0,0
6J,2026-03-10 17:58:00,0.006343,0.006343,0.006343,0.006343,5,0
6J,2026-03-10 17:59:00,0.006342,0.006343,0.006342,0.006343,14,0
6J,2026-03-10 18:00:00,0.006343,0.006344,0.006342,0.006343,113,1
6J,2026-03-10 18:01:00,0.006343,0.006344,0.006343,0.006343,73,1
6J,2026-03-10 18:02:00,0.006343,0.006343,0.006343,0.006343,40,1
6J,2026-03-10 18:03:00,0.006342,0.006343,0.006342,0.006343,52,1
6J,2026-03-10 18:04:00,0.006343,0.006343,0.006342,0.006342,53,1
6J,2026-03-10 18:05:00,0.006342,0.006343,0.006342,0.006342,23,0
6J,2026-03-10 18:06:00,0.006342,0.006343,0.006342,0.006343,28,0
6J,2026-03-10 18:07:00,0.006343,0.006343,0.006343,0.006343,18,0
6J,2026-03-10 18:08:00,0.006342,0.006342,0.006342,0.006342,1,0
6J,2026-03-10 18:09:00,0.006342,0.006342,0.006342,0.006342,0,0
6J,2026-03-10 18:10:00,0.006343,0.006344,0.006343,0.006343,77,0
6J,2026-03-10 18:11:00,0.006343,0.006344,0.006343,0.006344,26,0
6J,2026-03-10 18:12:00,0.006344,0.006345,0.006344,0.006344,40,0
6J,2026-03-10 18:13:00,0.006344,0.006345,0.006344,0.006345,55,0
6J,2026-03-10 18:14:00,0.006345,0.006345,0.006345,0.006345,31,0
6J,2026-03-11 17:55:00,0.006308,0.006308,0.006308,0.006308,31,0
6J,2026-03-11 17:56:00,0.006308,0.006308,0.006308,0.006308,20,0
6J,2026-03-11 17:57:00,0.006308,0.006309,0.006308,0.006308,123,0
6J,2026-03-11 17:58:00,0.006308,0.006308,0.006308,0.006308,22,0
6J,2026-03-11 17:59:00,0.006308,0.006309,0.006308,0.006309,73,0
6J,2026-03-11 18:00:00,0.006308,0.00631,0.006308,0.00631,216,1
6J,2026-03-11 18:01:00,0.00631,0.00631,0.006309,0.006309,99,1
6J,2026-03-11 18:02:00,0.006309,0.006309,0.006309,0.006309,46,1
6J,2026-03-11 18:03:00,0.006309,0.006309,0.006308,0.006308,133,1
6J,2026-03-11 18:04:00,0.006309,0.006309,0.006309,0.006309,1,1
6J,2026-03-11 18:05:00,0.006309,0.006309,0.006309,0.006309,73,0
6J,2026-03-11 18:06:00,0.006309,0.006309,0.006309,0.006309,9,0
6J,2026-03-11 18:07:00,0.006308,0.006308,0.006308,0.006308,66,0
6J,2026-03-11 18:08:00,0.006308,0.006309,0.006308,0.006308,79,0
6J,2026-03-11 18:09:00,0.006308,0.006308,0.006308,0.006308,57,0
6J,2026-03-11 18:10:00,0.006308,0.006308,0.006308,0.006308,44,0
6J,2026-03-11 18:11:00,0.006308,0.006308,0.006305,0.006306,626,0
6J,2026-03-11 18:12:00,0.006306,0.006306,0.006305,0.006305,84,0
6J,2026-03-11 18:13:00,0.006305,0.006305,0.006305,0.006305,134,0
6J,2026-03-11 18:14:00,0.006305,0.006307,0.006305,0.006306,90,0
6J,2026-03-12 17:55:00,0.006296,0.006296,0.006296,0.006296,1,0
6J,2026-03-12 17:56:00,0.006295,0.006295,0.006295,0.006295,4,0
6J,2026-03-12 17:57:00,0.006295,0.006295,0.006295,0.006295,1,0
6J,2026-03-12 17:58:00,0.006296,0.006296,0.006296,0.006296,4,0
6J,2026-03-12 17:59:00,0.006296,0.006296,0.006296,0.006296,1,0
6J,2026-03-12 18:00:00,0.006296,0.006296,0.006296,0.006296,2,1
6J,2026-03-12 18:01:00,0.006296,0.006296,0.006296,0.006296,1,1
6J,2026-03-12 18:02:00,0.006296,0.006296,0.006296,0.006296,0,1
6J,2026-03-12 18:03:00,0.006296,0.006296,0.006296,0.006296,2,1
6J,2026-03-12 18:04:00,0.006296,0.006296,0.006296,0.006296,0,1
6J,2026-03-12 18:05:00,0.006296,0.006296,0.006296,0.006296,0,0
6J,2026-03-12 18:06:00,0.006296,0.006296,0.006296,0.006296,0,0
6J,2026-03-12 18:07:00,0.006296,0.006296,0.006296,0.006296,0,0
6J,2026-03-12 18:08:00,0.006296,0.006296,0.006296,0.006296,1,0
6J,2026-03-12 18:09:00,0.006296,0.006296,0.006296,0.006296,0,0
6J,2026-03-12 18:10:00,0.006296,0.006296,0.006296,0.006296,3,0
6J,2026-03-12 18:11:00,0.006296,0.006296,0.006296,0.006296,0,0
6J,2026-03-12 18:12:00,0.006296,0.006296,0.006296,0.006296,0,0
6J,2026-03-12 18:13:00,0.006296,0.006296,0.006296,0.006296,0,0
6J,2026-03-12 18:14:00,0.006296,0.006296,0.006296,0.006296,0,0
6J,2026-03-15 17:55:00,0.006282,0.006282,0.006282,0.006282,0,0
6J,2026-03-15 17:56:00,0.006282,0.006282,0.006282,0.006282,0,0
6J,2026-03-15 17:57:00,0.006285,0.006285,0.006285,0.006285,1,0
6J,2026-03-15 17:58:00,0.006285,0.006285,0.006285,0.006285,0,0
6J,2026-03-15 17:59:00,0.006287,0.006287,0.006287,0.006287,2,0
6J,2026-03-15 18:00:00,0.006287,0.006287,0.006287,0.006287,0,1
6J,2026-03-15 18:01:00,0.006287,0.006287,0.006287,0.006287,0,1
6J,2026-03-15 18:02:00,0.006287,0.006287,0.006287,0.006287,0,1
6J,2026-03-15 18:03:00,0.006286,0.006286,0.006286,0.006286,1,1
6J,2026-03-15 18:04:00,0.006286,0.006286,0.006286,0.006286,0,1
6J,2026-03-15 18:05:00,0.006286,0.006286,0.006286,0.006286,3,0
6J,2026-03-15 18:06:00,0.006286,0.006286,0.006286,0.006286,0,0
6J,2026-03-15 18:07:00,0.006286,0.006286,0.006286,0.006286,0,0
6J,2026-03-15 18:08:00,0.006286,0.006286,0.006286,0.006286,0,0
6J,2026-03-15 18:09:00,0.006286,0.006286,0.006286,0.006286,0,0
6J,2026-03-15 18:10:00,0.006286,0.006286,0.006286,0.006286,0,0
6J,2026-03-15 18:11:00,0.006286,0.006286,0.006286,0.006286,0,0
6J,2026-03-15 18:12:00,0.006286,0.006286,0.006286,0.006286,0,0
6J,2026-03-15 18:13:00,0.006286,0.006286,0.006286,0.006286,0,0
6J,2026-03-15 18:14:00,0.006285,0.006285,0.006285,0.006285,1,0
6J,2026-03-16 17:55:00,0.0063,0.006301,0.0063,0.006301,0,0
6J,2026-03-16 17:56:00,0.0063,0.006301,0.0063,0.006301,0,0
6J,2026-03-16 17:57:00,0.0063,0.006301,0.0063,0.006301,0,0
6J,2026-03-16 17:58:00,0.0063,0.006301,0.0063,0.006301,0,0
6J,2026-03-16 17:59:00,0.0063,0.006301,0.0063,0.006301,0,0
6J,2026-03-16 18:00:00,0.006299,0.006299,0.006299,0.006299,1,1
6J,2026-03-16 18:01:00,0.006299,0.006299,0.006299,0.006299,0,1
6J,2026-03-16 18:02:00,0.006299,0.006299,0.006299,0.006299,0,1
6J,2026-03-16 18:03:00,0.006299,0.006299,0.006299,0.006299,0,1
6J,2026-03-16 18:04:00,0.006299,0.006299,0.006299,0.006299,0,1
6J,2026-03-16 18:05:00,0.006299,0.006299,0.006299,0.006299,0,0
6J,2026-03-16 18:06:00,0.006299,0.006299,0.006299,0.006299,0,0
6J,2026-03-16 18:07:00,0.006299,0.006299,0.006299,0.006299,0,0
6J,2026-03-16 18:08:00,0.006299,0.006299,0.006299,0.006299,0,0
6J,2026-03-16 18:09:00,0.006299,0.006299,0.006299,0.006299,0,0
6J,2026-03-16 18:10:00,0.006299,0.006299,0.006299,0.006299,0,0
6J,2026-03-16 18:11:00,0.006296,0.006296,0.006296,0.006296,1,0
6J,2026-03-16 18:12:00,0.006296,0.006296,0.006296,0.006296,0,0
6J,2026-03-16 18:13:00,0.006296,0.006296,0.006296,0.006296,0,0
6J,2026-03-16 18:14:00,0.006296,0.006296,0.006296,0.006296,0,0
6J,2026-03-17 17:55:00,0.006305,0.006305,0.006305,0.006305,0,0
6J,2026-03-17 17:56:00,0.006305,0.006305,0.006305,0.006305,0,0
6J,2026-03-17 17:57:00,0.006305,0.006305,0.006305,0.006305,0,0
6J,2026-03-17 17:58:00,0.006305,0.006305,0.006305,0.006305,0,0
6J,2026-03-17 17:59:00,0.006305,0.006305,0.006305,0.006305,0,0
6J,2026-03-17 18:00:00,0.006305,0.006305,0.006305,0.006305,0,1
6J,2026-03-17 18:01:00,0.006305,0.006305,0.006305,0.006305,0,1
6J,2026-03-17 18:02:00,0.006305,0.006305,0.006305,0.006305,0,1
6J,2026-03-17 18:03:00,0.006305,0.006305,0.006305,0.006305,0,1
6J,2026-03-17 18:04:00,0.006305,0.006305,0.006305,0.006305,0,1
6J,2026-03-17 18:05:00,0.006305,0.006305,0.006305,0.006305,0,0
6J,2026-03-17 18:06:00,0.006305,0.006305,0.006305,0.006305,0,0
6J,2026-03-17 18:07:00,0.006305,0.006305,0.006305,0.006305,0,0
6J,2026-03-17 18:08:00,0.006305,0.006305,0.006305,0.006305,0,0
6J,2026-03-17 18:09:00,0.006305,0.006305,0.006305,0.006305,0,0
6J,2026-03-17 18:10:00,0.006305,0.006305,0.006305,0.006305,0,0
6J,2026-03-17 18:11:00,0.006305,0.006305,0.006305,0.006305,0,0
6J,2026-03-17 18:12:00,0.006305,0.006305,0.006305,0.006305,0,0
6J,2026-03-17 18:13:00,0.006305,0.006305,0.006305,0.006305,0,0
6J,2026-03-17 18:14:00,0.006305,0.006305,0.006305,0.006305,0,0
6J,2026-03-18 17:55:00,0.006269,0.006269,0.006269,0.006269,0,0
6J,2026-03-18 17:56:00,0.006269,0.006269,0.006269,0.006269,0,0
6J,2026-03-18 17:57:00,0.006269,0.006269,0.006269,0.006269,0,0
6J,2026-03-18 17:58:00,0.006269,0.006269,0.006269,0.006269,0,0
6J,2026-03-18 17:59:00,0.006269,0.006269,0.006269,0.006269,0,0
6J,2026-03-18 18:00:00,0.006269,0.006269,0.006269,0.006269,0,1
6J,2026-03-18 18:01:00,0.006269,0.006269,0.006269,0.006269,0,1
6J,2026-03-18 18:02:00,0.006272,0.006272,0.006272,0.006272,1,1
6J,2026-03-18 18:03:00,0.006272,0.006272,0.006272,0.006272,1,1
6J,2026-03-18 18:04:00,0.006272,0.006272,0.006272,0.006272,0,1
6J,2026-03-18 18:05:00,0.006272,0.006272,0.006272,0.006272,0,0
6J,2026-03-18 18:06:00,0.006272,0.006272,0.006272,0.006272,0,0
6J,2026-03-18 18:07:00,0.006272,0.006272,0.006272,0.006272,0,0
6J,2026-03-18 18:08:00,0.006272,0.006272,0.006272,0.006272,0,0
6J,2026-03-18 18:09:00,0.006272,0.006272,0.006272,0.006272,0,0
6J,2026-03-18 18:10:00,0.006272,0.006272,0.006272,0.006272,0,0
6J,2026-03-18 18:11:00,0.006272,0.006272,0.006272,0.006272,0,0
6J,2026-03-18 18:12:00,0.006272,0.006272,0.006272,0.006272,0,0
6J,2026-03-18 18:13:00,0.00627,0.00627,0.00627,0.00627,1,0
6J,2026-03-18 18:14:00,0.00627,0.00627,0.00627,0.00627,0,0
6J,2026-03-19 17:55:00,0.006347,0.006347,0.006347,0.006347,0,0
6J,2026-03-19 17:56:00,0.006347,0.006347,0.006347,0.006347,0,0
6J,2026-03-19 17:57:00,0.006347,0.006347,0.006347,0.006347,0,0
6J,2026-03-19 17:58:00,0.006347,0.006347,0.006347,0.006347,0,0
6J,2026-03-19 17:59:00,0.006347,0.006347,0.006347,0.006347,0,0
6J,2026-03-19 18:00:00,0.006347,0.006347,0.006347,0.006347,0,1
6J,2026-03-19 18:01:00,0.006347,0.006347,0.006347,0.006347,0,1
6J,2026-03-19 18:02:00,0.006347,0.006347,0.006347,0.006347,0,1
6J,2026-03-19 18:03:00,0.006347,0.006347,0.006347,0.006347,0,1
6J,2026-03-19 18:04:00,0.006346,0.006346,0.006346,0.006346,1,1
6J,2026-03-19 18:05:00,0.006346,0.006346,0.006346,0.006346,0,0
6J,2026-03-19 18:06:00,0.006346,0.006346,0.006346,0.006346,0,0
6J,2026-03-19 18:07:00,0.006346,0.006346,0.006346,0.006346,0,0
6J,2026-03-19 18:08:00,0.006346,0.006346,0.006346,0.006346,0,0
6J,2026-03-19 18:09:00,0.006346,0.006346,0.006346,0.006346,0,0
6J,2026-03-19 18:10:00,0.006346,0.006346,0.006346,0.006346,0,0
6J,2026-03-19 18:11:00,0.006346,0.006346,0.006346,0.006346,0,0
6J,2026-03-19 18:12:00,0.006346,0.006346,0.006346,0.006346,0,0
6J,2026-03-19 18:13:00,0.006346,0.006346,0.006346,0.006346,0,0
6J,2026-03-19 18:14:00,0.006346,0.006346,0.006346,0.006346,0,0
6J,2026-03-22 17:55:00,0.006287,0.006287,0.006287,0.006287,0,0
6J,2026-03-22 17:56:00,0.006287,0.006287,0.006287,0.006287,0,0
6J,2026-03-22 17:57:00,0.006287,0.006287,0.006287,0.006287,0,0
6J,2026-03-22 17:58:00,0.006287,0.006287,0.006287,0.006287,0,0
6J,2026-03-22 17:59:00,0.006287,0.006287,0.006287,0.006287,0,0
6J,2026-03-22 18:00:00,0.006287,0.006287,0.006287,0.006287,0,1
6J,2026-03-22 18:01:00,0.006287,0.006287,0.006287,0.006287,0,1
6J,2026-03-22 18:02:00,0.006287,0.006287,0.006287,0.006287,0,1
