asset,date,open,high,low,close,volume
MES,2026-02-02,6997.524815,7072.100582,6995.509254,7057.487763,692787
MES,2026-02-03,7064.038337,7071.596691,6939.829374,6992.485912,1274746
MES,2026-02-04,7003.319554,7014.657086,6915.894584,6982.660051,1330331
MES,2026-02-05,6906.824558,6935.042416,6837.791585,6841.570762,1085749
MES,2026-02-06,6909.595955,7019.695989,6903.297326,7000.296212,769356
MES,2026-02-09,6989.210625,7054.968311,6978.125038,7038.087985,661127
MES,2026-02-10,7044.386614,7060.76305,7011.129853,7024.482947,871637
MES,2026-02-11,7058.495543,7066.053898,6984.927557,7017.176537,1105764
MES,2026-02-12,7035.820479,7047.158011,6894.983136,6915.138748,1426543
MES,2026-02-13,6904.808997,6951.418851,6862.230265,6899.014258,1133538
MES,2026-02-16,6912.367352,6917.15431,6894.2273,6908.084284,172811
MES,2026-02-17,6888.180616,6937.309922,6843.838269,6915.642639,1374351
MES,2026-02-18,6927.232116,6979.636709,6914.634858,6945.624112,944222
MES,2026-02-19,6924.208774,6948.143564,6900.777874,6925.4685,1096548
MES,2026-02-20,6906.068723,6984.927557,6900.525929,6978.628928,1418945
MES,2026-02-23,6961.748603,6984.423667,6886.165055,6911.107626,1351580
MES,2026-02-24,6900.777874,6966.535561,6881.630042,6953.686357,1137206
MES,2026-02-25,6984.423667,7042.371053,6982.911996,7029.52185,869350
MES,2026-02-26,7015.160976,7015.160976,6924.208774,6957.71748,1575399
MES,2026-02-27,6909.092065,6947.639674,6894.731191,6928.995732,1439444
MES,2026-03-02,6863.993881,6964.771944,6857.191362,6937.561867,1216727
MES,2026-03-03,6825.446272,6903.045381,6771.026118,6866.765278,1612088
MES,2026-03-04,6891.959794,6948.143564,6871.552236,6932.271019,1118007
MES,2026-03-05,6895.487026,6930.759348,6829.72934,6877.346975,1839765
MES,2026-03-06,6804.786769,6833.004627,6767.498886,6792.189511,1676752
MES,2026-03-09,6733.486289,6871.300291,6692.671174,6847.113556,1473457
MES,2026-03-10,6847.869391,6905.312887,6817.635972,6850.388843,1735616
MES,2026-03-11,6845.34994,6870.796401,6802.267318,6822.42293,1438110
MES,2026-03-12,6779.088363,6784.379211,6723.660428,6737.265467,1728999
MES,2026-03-13,6758.680805,6789.922005,6676.546684,6676.798629,1707860
MES,2026-03-16,6749.358834,6786.646718,6736.509631,6751.374396,585752
MES,2026-03-17,6789.166169,6810.077617,6765.987215,6775.561131,173168
MES,2026-03-18,6747.343273,6760.696367,6655.131345,6665.713042,152980
MES,2026-03-19,6630.44072,6692.671174,6612.552614,6670.5,148012
MES,2026-03-20,6642.75,6643.25,6523.75,6588.25,1456495
MES,2026-03-23,6658.25,6705.0,6616.0,6633.0,1285883
MES,2026-03-24,6589.25,6679.25,6573.5,6647.25,1403443
MES,2026-03-25,6661.75,6684.75,6616.5,6640.75,1018048
MES,2026-03-26,6593.0,6622.0,6517.0,6535.5,1111064
MES,2026-03-27,6494.5,6495.75,6389.0,6398.0,980856
MES,2026-03-30,6467.75,6471.0,6359.5,6383.5,978663
MGC,2025-02-25,3045.167585,3046.098734,3003.576263,3016.301966,29
MGC,2025-02-26,2995.289618,3022.070062,2990.345536,3019.495019,43157
MGC,2025-02-27,2989.315519,2991.272552,2965.419123,2974.380272,62633
