"asset_id","trade_date","open","high","low","close","volume","ts"
"MES","2026-02-27",6909.092065,6947.639674,6894.731191,6928.995732,1439444,"2026-04-01T16:16:09.465566Z"
"MES","2026-03-02",6863.993881,6964.771944,6857.191362,6937.561867,1216727,"2026-04-01T16:16:09.466634Z"
"MES","2026-03-03",6825.446272,6903.045381,6771.026118,6866.765278,1612088,"2026-04-01T16:16:09.467888Z"
"MES","2026-03-04",6891.959794,6948.143564,6871.552236,6932.271019,1118007,"2026-04-01T16:16:09.469190Z"
"MES","2026-03-05",6895.487026,6930.759348,6829.72934,6877.346975,1839765,"2026-04-01T16:16:09.470139Z"
"MES","2026-03-06",6804.786769,6833.004627,6767.498886,6792.189511,1676752,"2026-04-01T16:16:09.471886Z"
"MES","2026-03-09",6733.486289,6871.300291,6692.671174,6847.113556,1473457,"2026-04-01T16:16:09.472866Z"
"MES","2026-03-10",6847.869391,6905.312887,6817.635972,6850.388843,1735616,"2026-04-01T16:16:09.474003Z"
"MES","2026-03-11",6845.34994,6870.796401,6802.267318,6822.42293,1438110,"2026-04-01T16:16:09.475119Z"
"MES","2026-03-12",6779.088363,6784.379211,6723.660428,6737.265467,1728999,"2026-04-01T16:16:09.476178Z"
"MES","2026-03-13",6758.680805,6789.922005,6676.546684,6676.798629,1707860,"2026-04-01T16:16:09.477242Z"
"MES","2026-03-16",6749.358834,6786.646718,6736.509631,6751.374396,585752,"2026-04-01T16:16:09.478397Z"
"MES","2026-03-17",6789.166169,6810.077617,6765.987215,6775.561131,173168,"2026-04-01T16:16:09.479711Z"
"MES","2026-03-18",6747.343273,6760.696367,6655.131345,6665.713042,152980,"2026-04-01T16:16:09.481614Z"
"MES","2026-03-19",6630.44072,6692.671174,6612.552614,6670.5,148012,"2026-04-01T16:16:09.482535Z"
"MES","2026-03-20",6642.75,6643.25,6523.75,6588.25,1456495,"2026-04-01T16:16:09.483585Z"
"MES","2026-03-23",6658.25,6705.0,6616.0,6633.0,1285883,"2026-04-01T16:16:09.484528Z"
"MES","2026-03-24",6589.25,6679.25,6573.5,6647.25,1403443,"2026-04-01T16:16:09.485970Z"
"MES","2026-03-25",6661.75,6684.75,6616.5,6640.75,1018048,"2026-04-01T16:16:09.487175Z"
"MES","2026-03-26",6593.0,6622.0,6517.0,6535.5,1111064,"2026-04-01T16:16:09.488221Z"
"MES","2026-03-27",6494.5,6495.75,6389.0,6398.0,980856,"2026-04-01T16:16:09.489080Z"
"MES","2026-03-30",6467.75,6471.0,6359.5,6383.5,978663,"2026-04-01T16:16:09.489886Z"
"MGC","2025-02-25",3045.167585,3046.098734,3003.576263,3016.301966,29,"2026-04-01T16:16:09.494212Z"
"MGC","2025-02-26",2995.289618,3022.070062,2990.345536,3019.495019,43157,"2026-04-01T16:16:09.495239Z"
"MGC","2025-02-27",2989.315519,2991.272552,2965.419123,2974.380272,62633,"2026-04-01T16:16:09.496253Z"
"MGC","2025-02-28",2944.200772,2956.045968,2929.677531,2953.16192,62381,"2026-04-01T16:16:09.497390Z"
"MGC","2025-03-03",2971.290221,2993.847594,2961.402057,2991.478555,59809,"2026-04-01T16:16:09.498579Z"
"MGC","2025-03-04",3015.580954,3019.495019,2998.276668,3016.404968,50106,"2026-04-01T16:16:09.499849Z"
"MGC","2025-03-05",3002.087731,3029.486185,3000.027697,3017.228982,57209,"2026-04-01T16:16:09.501363Z"
"MGC","2025-03-06",3004.250767,3019.804024,3003.632756,3007.237816,45217,"2026-04-01T16:16:09.502612Z"
"MGC","2025-03-07",3012.078896,3026.911142,2997.143649,3005.280784,52972,"2026-04-01T16:16:09.503980Z"
"MGC","2025-03-10",2994.671608,3005.177782,2970.981215,2979.942364,59586,"2026-04-01T16:16:09.505125Z"
"MGC","2025-03-11",3004.250767,3017.228982,3003.735758,3010.636872,43066,"2026-04-01T16:16:09.506262Z"
"MGC","2025-03-12",3004.250767,3037.417316,3002.705741,3031.855224,54838,"2026-04-01T16:16:09.507758Z"
"MGC","2025-03-13",3042.773405,3091.493212,3042.361398,3091.493212,93790,"2026-04-01T16:16:09.509074Z"
"MGC","2025-03-14",3097.467311,3097.879318,3078.411995,3083.253075,56174,"2026-04-01T16:16:09.510692Z"
"MGC","2025-03-17",3084.592097,3101.278374,3083.150074,3100.45436,39416,"2026-04-01T16:16:09.511709Z"
"MGC","2025-03-18",3135.577942,3138.976998,3122.18772,3133.002899,66806,"2026-04-01T16:16:09.512850Z"
"MGC","2025-03-19",3133.62091,3153.191234,3124.762763,3148.968164,58921,"2026-04-01T16:16:09.514034Z"
"MGC","2025-03-20",3129.603843,3145.981114,3128.882831,3144.333087,42005,"2026-04-01T16:16:09.515525Z"
"MGC","2025-03-21",3127.543809,3127.749812,3094.171256,3119.303672,82547,"2026-04-01T16:16:09.516805Z"
"MGC","2025-03-24",3119.406674,3122.599727,3097.982319,3108.076487,54043,"2026-04-01T16:16:09.517875Z"
"MGC","2025-03-25",3118.994667,3133.517908,3113.638579,3116.934633,51578,"2026-04-01T16:16:09.518952Z"
"MGC","2025-03-26",3121.775713,3122.805731,3108.797498,3117.34664,38724,"2026-04-01T16:16:09.520147Z"
"MGC","2025-03-27",3142.788062,3163.491404,3132.281887,3161.740375,30836,"2026-04-01T16:16:09.521178Z"
"MGC","2025-03-28",3175.233599,3228.279478,3164.521422,3183.061729,3088,"2026-04-01T16:16:09.521979Z"
"MGC","2025-03-31",3210.048176,3226.01344,3207.988142,3225.086425,66,"2026-04-01T16:16:09.523124Z"
"MGC","2025-04-01",3228.176476,3233.738568,3204.486084,3215.404264,43,"2026-04-01T16:16:09.524322Z"
"MGC","2025-04-02",3238.06464,3264.948085,3229.515498,3245.480763,36,"2026-04-01T16:16:09.525643Z"
"MGC","2025-04-03",3196.45195,3220.657351,3196.45195,3198.614986,15,"2026-04-01T16:16:09.527914Z"
"MGC","2025-04-04",3151.852212,3151.852212,3100.351359,3113.844582,136,"2026-04-01T16:16:09.529015Z"
