"asset_id","session_date","session_type","or_minutes","volume_first_m_min","ts"
"ZN","2026-03-12","NY",4,0,"2026-04-01T16:16:08.059031Z"
"ZN","2026-03-13","NY",4,0,"2026-04-01T16:16:08.059920Z"
"ZN","2026-03-16","NY",4,0,"2026-04-01T16:16:08.060873Z"
"ZN","2026-03-17","NY",4,0,"2026-04-01T16:16:08.062394Z"
"ZN","2026-03-18","NY",4,0,"2026-04-01T16:16:08.063482Z"
"ZN","2026-03-19","NY",4,0,"2026-04-01T16:16:08.064172Z"
"ZN","2026-03-20","NY",4,9285,"2026-04-01T16:16:08.064975Z"
"ZN","2026-03-23","NY",4,9149,"2026-04-01T16:16:08.065771Z"
"ZN","2026-03-24","NY",4,10902,"2026-04-01T16:16:08.066599Z"
"ZN","2026-03-25","NY",4,9655,"2026-04-01T16:16:08.067400Z"
"ZN","2026-03-26","NY",4,3741,"2026-04-01T16:16:08.068244Z"
"ZN","2026-03-27","NY",4,8446,"2026-04-01T16:16:08.068967Z"
"ZN","2026-03-30","NY",4,3123,"2026-04-01T16:16:08.069840Z"
